epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,15574.4,1.02295,0.78426,1.22001,0.85834,0.87143,0.9033,0.59995,1.14484,0.59328,1.32751,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,15790.7,1.01949,0.77768,1.21803,0.85624,0.87671,0.90106,0.59742,1.14775,0.59773,1.32996,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,16002.6,1.01115,0.77227,1.20904,0.85392,0.876,0.89777,0.59487,1.14992,0.59644,1.33801,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,16212.6,1.00702,0.76817,1.20974,0.85485,0.8809,0.89726,0.59397,1.15914,0.59122,1.35319,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,16422.4,1.0029,0.76734,1.20748,0.8552,0.87793,0.89581,0.59479,1.15686,0.59372,1.34577,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,16632.7,0.99797,0.75526,1.20021,0.86164,0.87705,0.89973,0.59439,1.15891,0.59578,1.34748,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,16843.6,0.99664,0.75754,1.20274,0.87099,0.86197,0.89565,0.59055,1.15941,0.59889,1.34747,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,17055.6,0.98929,0.74293,1.19372,0.85395,0.86935,0.89501,0.59048,1.16047,0.59686,1.34841,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,17264.6,0.98762,0.74434,1.19459,0.86277,0.8615,0.89461,0.59161,1.1591,0.59564,1.34842,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,17473.9,0.98377,0.74206,1.1932,0.85449,0.87043,0.8946,0.5934,1.15965,0.59623,1.34907,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,17684.8,0.97855,0.73088,1.19042,0.84196,0.87933,0.89398,0.59241,1.15939,0.59911,1.35002,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,17892.3,0.97684,0.73729,1.18266,0.86364,0.85931,0.89493,0.59292,1.15842,0.59926,1.34892,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,18098.8,0.97094,0.72197,1.18499,0.85553,0.86901,0.89499,0.59493,1.15884,0.59821,1.3485,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,18305.7,0.96747,0.72114,1.18246,0.84478,0.87427,0.89452,0.5959,1.1595,0.5986,1.35014,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,18512.4,0.96212,0.71822,1.18059,0.84671,0.87412,0.8955,0.59464,1.1605,0.59753,1.35171,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,18719.3,0.96167,0.7175,1.17956,0.84984,0.87566,0.89604,0.59551,1.15953,0.59893,1.35114,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,18930.5,0.96258,0.71211,1.17908,0.86039,0.8604,0.89509,0.59573,1.15891,0.59788,1.3505,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,19146.9,0.95278,0.70726,1.17347,0.8645,0.85809,0.89539,0.59334,1.15877,0.5993,1.35119,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,19356.8,0.95168,0.70386,1.17481,0.85822,0.86578,0.89484,0.5925,1.15934,0.60082,1.35243,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,19566.3,0.94915,0.69741,1.16671,0.85522,0.86407,0.89419,0.59202,1.15983,0.59869,1.35346,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
