epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
98,4081.26,1.0829,0.69812,0.01202,0.90085,0.86415,0.91647,0.60746,1.18323,0.56503,0.01336,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,4354.62,1.07892,0.69372,0.01191,0.90419,0.86109,0.91588,0.60535,1.1825,0.56925,0.01335,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,4627.95,1.063,0.69972,0.01173,0.9052,0.8616,0.91681,0.60666,1.18228,0.569,0.01334,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,4901.46,1.06657,0.68541,0.01177,0.90129,0.86165,0.91889,0.60705,1.18244,0.57179,0.01333,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,5174.88,1.06554,0.67315,0.01171,0.90643,0.85661,0.91812,0.6075,1.18211,0.57172,0.01333,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,5448.2,1.05752,0.67049,0.01162,0.90653,0.86029,0.91951,0.60808,1.1832,0.56808,0.01335,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,5722.05,1.04906,0.66248,0.01142,0.91239,0.85766,0.91884,0.60835,1.18262,0.57023,0.01333,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,5995.49,1.04569,0.66374,0.01145,0.91608,0.85392,0.91786,0.60743,1.18257,0.57367,0.01333,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,6268.87,1.04924,0.65663,0.01154,0.89792,0.87027,0.91808,0.60597,1.18239,0.56975,0.01334,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,6542.45,1.04193,0.63642,0.01141,0.90449,0.86603,0.91824,0.60615,1.18304,0.57117,0.01335,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
