epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,14642.2,1.21862,0.88009,0.01358,0.86604,0.85585,0.90642,0.59267,1.20046,0.55883,0.01369,0.0221290,0.0073770,0.0221290,0.0073770,0.0221290,0.0073770,0.0221290,0.0073770
55,14915.2,1.20375,0.8962,0.01345,0.84329,0.8781,0.90785,0.59821,1.19737,0.55034,0.01367,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,15188.5,1.19811,0.89511,0.01345,0.86513,0.86998,0.90344,0.59701,1.18897,0.5514,0.01359,0.0218330,0.0072780,0.0218330,0.0072780,0.0218330,0.0072780,0.0218330,0.0072780
57,15461.6,1.19218,0.87221,0.01327,0.8598,0.86815,0.90018,0.59686,1.18449,0.56084,0.01355,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,15734.7,1.19616,0.87515,0.01341,0.85673,0.85737,0.90419,0.59544,1.18933,0.55818,0.01361,0.0215350,0.0071780,0.0215350,0.0071780,0.0215350,0.0071780,0.0215350,0.0071780
59,16007.9,1.18713,0.86388,0.0133,0.85999,0.87725,0.90686,0.59663,1.1838,0.5525,0.01346,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,16281,1.18531,0.85019,0.01319,0.86101,0.85877,0.90195,0.59827,1.18729,0.55917,0.01349,0.0212390,0.0070790,0.0212390,0.0070790,0.0212390,0.0070790,0.0212390,0.0070790
61,16554.2,1.18783,0.84856,0.01324,0.88286,0.85482,0.90604,0.59847,1.18785,0.56602,0.01347,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,16827.4,1.17458,0.84633,0.01308,0.84709,0.88078,0.90532,0.59885,1.19188,0.55621,0.01357,0.0209410,0.0069800,0.0209410,0.0069800,0.0209410,0.0069800,0.0209410,0.0069800
63,17100.5,1.17603,0.84394,0.01312,0.86475,0.87403,0.90738,0.59636,1.19539,0.5513,0.01368,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,17373.6,1.17098,0.83867,0.01305,0.87262,0.86701,0.90878,0.59963,1.19217,0.55646,0.01362,0.0206440,0.0068810,0.0206440,0.0068810,0.0206440,0.0068810,0.0206440,0.0068810
65,17646.7,1.17156,0.8247,0.01311,0.87879,0.85961,0.91074,0.60106,1.197,0.54767,0.01375,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
